animal_id,sire_id,dam_id,generation
133,0,0,2
134,0,0,2
135,0,0,2
136,0,0,2
137,0,0,2
138,0,0,2
139,0,0,2
140,0,0,2
141,0,0,2
142,0,0,2
143,0,0,2
144,0,0,2
145,0,0,2
146,0,0,2
147,0,0,2
148,0,0,2
149,0,0,2
150,0,0,2
151,0,0,3
152,0,0,3
153,0,0,3
154,0,0,3
155,0,0,3
156,0,0,3
157,0,0,3
158,0,0,3
159,0,0,3
160,0,0,3
161,0,0,3
162,0,0,3
163,0,0,3
164,0,0,3
165,0,0,3
166,0,0,3
167,0,0,3
168,0,0,3
169,0,0,3
170,0,0,3
171,0,0,3
172,0,0,3
173,0,0,3
174,0,0,3
175,0,0,3
176,0,0,3
177,0,0,3
178,0,0,3
179,0,0,3
180,0,0,3
181,0,0,3
182,0,0,3
183,0,0,3
184,0,0,3
185,0,0,3
186,0,0,3
187,0,0,3
188,0,0,3
189,0,0,3
190,0,0,3
191,0,0,3
192,0,0,3
193,0,0,3
194,0,0,3
195,0,0,3
196,0,0,3
197,0,0,3
198,0,0,3
199,0,0,3
200,0,0,3
201,0,0,4
202,0,0,4
203,0,0,4
204,0,0,4
205,0,0,4
206,0,0,4
207,0,0,4
208,0,0,4
209,0,0,4
210,0,0,4
211,0,0,4
212,0,0,4
213,0,0,4
214,0,0,4
215,0,0,4
216,0,0,4
217,0,0,4
218,0,0,4
219,0,0,4
220,0,0,4
221,0,0,4
222,0,0,4
223,0,0,4
224,0,0,4
225,0,0,4
226,0,0,4
227,0,0,4
228,0,0,4
229,0,0,4
230,0,0,4
231,0,0,4
232,0,0,4
233,0,0,4
234,0,0,4
235,0,0,4
236,0,0,4
237,0,0,4
238,0,0,4
239,0,0,4
240,0,0,4
241,0,0,4
242,0,0,4
243,0,0,4
244,0,0,4
245,0,0,4
246,0,0,4
247,0,0,4
248,0,0,4
249,0,0,4
250,0,0,4
251,0,0,5
252,0,0,5
253,0,0,5
254,0,0,5
255,0,0,5
256,0,0,5
257,0,0,5
258,0,0,5
259,0,0,5
260,0,0,5
261,0,0,5
262,0,0,5
263,0,0,5
264,0,0,5
265,0,0,5
266,0,0,5
267,0,0,5
268,0,0,5
269,0,0,5
270,0,0,5
271,0,0,5
272,0,0,5
273,0,0,5
274,0,0,5
275,0,0,5
276,0,0,5
277,0,0,5
278,0,0,5
279,0,0,5
280,0,0,5
281,0,0,5
282,0,0,5
283,0,0,5
284,0,0,5
285,0,0,5
286,0,0,5
287,0,0,5
288,0,0,5
289,0,0,5
290,0,0,5
291,0,0,5
292,0,0,5
293,0,0,5
294,0,0,5
295,0,0,5
296,0,0,5
297,0,0,5
298,0,0,5
299,0,0,5
300,0,0,5
301,0,0,6
302,0,0,6
303,0,0,6
304,0,0,6
305,0,0,6
306,0,0,6
307,0,0,6
308,0,0,6
309,0,0,6
310,0,0,6
311,0,0,6
312,0,0,6
313,0,0,6
314,0,0,6
315,0,0,6
316,0,0,6
317,0,0,6
318,0,0,6
319,0,0,6
320,0,0,6
321,0,0,6
322,0,0,6
323,0,0,6
324,0,0,6
325,0,0,6
326,0,0,6
327,0,0,6
328,0,0,6
329,0,0,6
330,0,0,6
331,0,0,6
332,0,0,6
333,0,0,6
334,0,0,6
335,0,0,6
336,0,0,6
337,0,0,6
338,0,0,6
339,0,0,6
340,0,0,6
341,0,0,6
342,0,0,6
343,0,0,6
344,0,0,6
345,0,0,6
346,0,0,6
347,0,0,6
348,0,0,6
349,0,0,6
350,0,0,6
351,0,0,7
352,0,0,7
353,0,0,7
354,0,0,7
355,0,0,7
356,0,0,7
357,0,0,7
358,0,0,7
359,0,0,7
360,0,0,7
361,0,0,7
362,0,0,7
363,0,0,7
364,0,0,7
365,0,0,7
366,0,0,7
367,0,0,7
368,0,0,7
369,0,0,7
370,0,0,7
371,0,0,7
372,0,0,7
373,0,0,7
374,0,0,7
375,0,0,7
376,0,0,7
377,0,0,7
378,0,0,7
379,0,0,7
380,0,0,7
381,0,0,7
382,0,0,7
383,0,0,7
384,0,0,7
385,0,0,7
386,0,0,7
387,0,0,7
388,0,0,7
389,0,0,7
390,0,0,7
391,0,0,7
392,0,0,7
393,0,0,7
394,0,0,7
395,0,0,7
396,0,0,7
397,0,0,7
398,0,0,7
399,0,0,7
400,0,0,7
401,0,0,8
402,0,0,8
403,0,0,8
404,0,0,8
405,0,0,8
406,0,0,8
407,0,0,8
408,0,0,8
409,0,0,8
410,0,0,8
411,0,0,8
412,0,0,8
413,0,0,8
414,0,0,8
415,0,0,8
416,0,0,8
417,0,0,8
418,0,0,8
419,0,0,8
420,0,0,8
421,0,0,8
422,0,0,8
423,0,0,8
424,0,0,8
425,0,0,8
426,0,0,8
427,0,0,8
428,0,0,8
429,0,0,8
430,0,0,8
431,0,0,8
432,0,0,8
433,0,0,8
434,0,0,8
435,0,0,8
436,0,0,8
437,0,0,8
438,0,0,8
439,0,0,8
440,0,0,8
441,0,0,8
442,0,0,8
443,0,0,8
444,0,0,8
445,0,0,8
446,0,0,8
447,0,0,8
448,0,0,8
449,0,0,8
450,0,0,8
451,0,0,9
452,0,0,9
453,0,0,9
454,0,0,9
455,0,0,9
456,0,0,9
457,0,0,9
458,0,0,9
459,0,0,9
460,0,0,9
461,0,0,9
462,0,0,9
463,0,0,9
464,0,0,9
465,0,0,9
466,0,0,9
467,0,0,9
468,0,0,9
469,0,0,9
470,0,0,9
471,0,0,9
472,0,0,9
473,0,0,9
474,0,0,9
475,0,0,9
476,0,0,9
477,0,0,9
478,0,0,9
479,0,0,9
480,0,0,9
481,0,0,9
482,0,0,9
483,0,0,9
484,0,0,9
485,0,0,9
486,0,0,9
487,0,0,9
488,0,0,9
489,0,0,9
490,0,0,9
491,0,0,9
492,0,0,9
493,0,0,9
494,0,0,9
495,0,0,9
496,0,0,9
497,0,0,9
498,0,0,9
499,0,0,9
500,0,0,9
501,0,0,10
502,0,0,10
503,0,0,10
504,0,0,10
505,0,0,10
506,0,0,10
507,0,0,10
508,0,0,10
509,0,0,10
510,0,0,10
511,0,0,10
512,0,0,10
513,0,0,10
514,0,0,10
515,0,0,10
516,0,0,10
517,0,0,10
518,0,0,10
519,0,0,10
520,0,0,10
521,0,0,10
522,0,0,10
523,0,0,10
524,0,0,10
525,0,0,10
526,0,0,10
527,0,0,10
528,0,0,10
529,0,0,10
530,0,0,10
531,0,0,10
532,0,0,10
533,0,0,10
534,0,0,10
535,0,0,10
536,0,0,10
537,0,0,10
538,0,0,10
539,0,0,10
540,0,0,10
541,0,0,10
542,0,0,10
543,0,0,10
544,0,0,10
545,0,0,10
546,0,0,10
547,0,0,10
548,0,0,10
549,0,0,10
550,0,0,10
551,0,0,11
552,0,0,11
553,0,0,11
554,0,0,11
555,0,0,11
556,0,0,11
557,0,0,11
558,0,0,11
559,0,0,11
560,0,0,11
561,0,0,11
562,0,0,11
563,0,0,11
564,0,0,11
565,0,0,11
566,0,0,11
567,0,0,11
568,0,0,11
569,0,0,11
570,0,0,11
571,0,0,11
572,0,0,11
573,0,0,11
574,0,0,11
575,0,0,11
576,0,0,11
577,0,0,11
578,0,0,11
579,0,0,11
580,0,0,11
581,0,0,11
582,0,0,11
583,0,0,11
584,0,0,11
585,0,0,11
586,0,0,11
587,0,0,11
588,0,0,11
589,0,0,11
590,0,0,11
591,0,0,11
592,0,0,11
593,0,0,11
594,0,0,11
595,0,0,11
596,0,0,11
597,0,0,11
598,0,0,11
599,0,0,11
600,0,0,11
